Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
"416932";"07867825000157";"ADMSERV BENEFÃCIOS E SERVIÃ‡OS LTDA";"GÃ‰IA ADMINISTRADORA DE BENEFICIOS";"Administradora de BenefÃ­cios";"Avenida Valdemar Ferreira";"463";;"ButantÃ£";"SÃ£o Paulo";"SP";"05501000";"11";"36602000";"36602000";"sandra@geia.com.br";"PEDRO OLIVEIRA OBLIZINER";"SÃ“CIO ADMINISTRADOR";2;"2009-03-30"
"422347";"37201454000130";"ADRESS ADMINISTRADORA DE BENEFICIOS LTDA";"ADRESS";"Administradora de BenefÃ­cios";"AVENIDA RIO BRANCO";"125";"15Âº ANDAR  SALA 1501";"CENTRO";"Rio de Janeiro";"RJ";"20040006";"21";"22524066";;"contato@adress.com.br";"LAIR ISABEL BOHRER DIEDAM";"SÃ“CIA ADMINISTRADORA";6;"2020-09-03"
"335657";"02041808000142";"ADVANCE PLANOS DE SAÃšDE LTDA";;"Medicina de Grupo";"RUA DOS BURITIS";"128";"SALA 202 - CENTRO EMPRESARIAL ZONA SUL";"JABAQUARA";"SÃ£o Paulo";"SP";"04321000";;;;"planosdesaude@advanceplanos.com.br";"JOSÃ‰ JAIR JAMES DE ARRUDA PINTO";"ADMINISTRADOR";4;"1998-12-28"
"413283";"03694367000140";"AESP ODONTO ASSISTÃŠNCIA ODONTOLÃ“GICA S/S LTDA EPP";;"Odontologia de Grupo";"ALAMEDA GRAJAÃš";"60";"SALA 2814";"ALPHAVILLE INDUSTRIAL";"Barueri";"SP";"06454050";"01";"168135656";"168135656";"aespodonto@aespodonto.com.br";"CARLOS EUGENIO PORTO BRAGA";"ADMINISTRADOR";4;"2001-03-07"
"419907";"22891640000171";"AFFIANCE LIFE ADMINISTRADORA DE BENEFÃCIOS EM SAÃšDE LTDA";"AFFIANCE LIFE BENEFÃCIOS";"Administradora de BenefÃ­cios";"AVENIDA FONSO PENA ";"867";"23Âº ANDAR - SALAS 2301 A  2305";"CENTRO";"Belo Horizonte";"MG";"30130905";"31";"98148128";;"atendimento@affiancelife.com.br";"FABIANA DA SILVA CARDOSO";"ADMINISTRADORA NÃƒO SÃ“CIA";4;"2015-09-23"
"417424";"11158465000191";"AFFIX ADMINISTRADORA DE BENEFÃCIOS LTDA";"AFFIX BENEFÃCIOS";"Administradora de BenefÃ­cios";"Alameda Santos";"2441";"Conjuntos 41 e 42, 4Âº andar, Sala admini";"Cerqueira CÃ©sar";"SÃ£o Paulo";"SP";"01419101";"11";"39952217";;"pedro.rezende@affixbeneficios.com.br";"PEDRO AUGUSTO BARQUETE DE REZENDE";"SÃ³CIO ADMINISTRADOR";1;"2010-07-16"
"368920";"20320487000105";"AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL";;"AutogestÃ£o";"AVENIDA PURDUE";"S/N";;"CAMPUS DA UFV";"ViÃ§osa";"MG";"36570900";"31";"38996550";"38996550";"institucional@agros.org.br";"CLAUDIO FURTADO SOARES";"DIRETOR PRESIDENTE";4;"1998-12-18"
"424285";"57522360000170";"AIRES OPERADORA DE SAUDE LTDA";"AIRES OPERADORA DE SAUDE ";"Medicina de Grupo";"AVENIDA PRESIDENTE KENNEDY";"1001.0";"BLOCO D";"PEIXINHOS";"Olinda";"PE";"53230971";"81";"992463135";;"jjppcc@gmail.com";"JOSE PEREIRA DA COSTA";"ADMINISTRADOR";;"2024-12-16"
"417742";"10387254000168";"ALACORÃ” CASF ASSOCIAÃ‡ÃƒO CLUBE DE BENEFICIOS PESSOAIS E EMPRESARIAIS";;"Administradora de BenefÃ­cios";"AVENIDA RIO BRANCO";"131";"10Âª ANDAR - PARTE";"CENTRO";"Rio de Janeiro";"RJ";"21040006";"21";"25054500";;"RODRIGO.PEIXOTO@ALACORO.COM.BR";"ANADIA BIENHACHEWSKI FERREIRA ALVES";"DIRETORA PRESIDENTE";6;"2010-12-20"
"416975";"06258813000162";"ALCANCE SAÃšDE LTDA";"ALCANCE SAÃšDE";"Medicina de Grupo";"RUA CUSSY DE ALMEIDA JUNIOR";"1931";;"SAO JOAO";"AraÃ§atuba";"SP";"16025050";;;;"reginaldo.alcancesaude@gmail.com";"VALDECIR DONIZETE LOCATELLI";"REPRESENTANTE";6;"2009-07-03"
"421928";"34266553000102";"ALICE OPERADORA LTDA.";"ALICE";"Medicina de Grupo";"Avenida RebouÃ§as ";"3535";;"Pinheiros";"SÃ£o Paulo";"SP";"05401400";"11";"41186896";;"regulatorio@alice.com.br";"MATHEUS HERMSDORFF MORAES";"Diretor";4;"2019-11-01"
"417289";"07674593000110";"ALL CARE ADMINISTRADORA DE BENEFÃCIOS SÃƒO PAULO LTDA";;"Administradora de BenefÃ­cios";"ALAMEDA SANTOS";"1357";"2Âº e 7Âº ANDAR";"JARDIM PAULISTA";"SÃ£o Paulo";"SP";"01419908";"11";"30039499";;"ans@allcare.com.br";"FARIAS PEREIRA DE SOUZA";"DIRETOR PRESIDENTE";1;"2010-05-14"
"417459";"11165556000154";"ALLCARE ADMINISTRADORA DE BENEFÃCIOS EM SAÃšDE LTDA.";"ALLCARE ADMINISTRADORA DE BENEFÃCIOS EM SAÃšDE";"Administradora de BenefÃ­cios";"SCS QD. 03 BLOCO A";"LOTE";"107/111";"ASA SUL";"BrasÃ­lia";"DF";"70303907";"61";"30443600";"30443615";"ans@allcare.com.br";"FARIAS PEREIRA DE SOUSA ";"DIRETOR PRESIDENTE";1;"2010-07-16"
"000515";"04439627000102";"ALLIANZ SAÃšDE S/A";;"Seguradora Especializada em SaÃºde";"RUA EUGÃŠNIO DE MEDEIROS";"303";"7Âº ANDAR - PARTE";"PINHEIROS";"SÃ£o Paulo";"SP";"05425000";"11";"40015060";;"compliance@allianz.com.br";"REGINA HELENA MENEZES LOPES";"DIRETORA";4;"2001-08-06"
"423262";"45568546000181";"ALMA ODONTO OPERADORA DE PLANOS ODONTOLOGICOS LTDA";"ALMA ODONTO";"Odontologia de Grupo";"RUA REGENTE FEIJO";"712.0";"SALA 93 EDIF JOAO PUPO";"CENTRO";"Campinas";"SP";"13013050";"19";"31994536";;"financeiro@almaodonto.com.br";"RONYSON RODRIGUES RAMOS DE OLIVEIRA";"SÃ“CIO ADMINISTRADOR";;"2022-05-30"
"419982";"20459346000160";"ALPHA DENTAL PLANO DE SAUDE LTDA ME";"DENTALMED";"Odontologia de Grupo";"AVENIDA DAS SIBIPIRUNAS";"2656";"1Âº ANDAR, SALA 03";"SETOR COMERCIAL SUL";"Sinop";"MT";"78550029";"66";"35310070";;;"IVAN DALL"" STELLA COSTA JÃšNIOR";"SÃ³CIO GERENTE";5;"2015-12-09"
"420255";"22103116000199";"ALTER ADMINISTRADORA DE BENEFICIOS S.A.";;"Administradora de BenefÃ­cios";"Alameda Santos";"2441";"4Âº andar, cjs 41 e 42, sala 01";"Cerqueira CÃ©sar";"SÃ£o Paulo";"SP";"01419101";"11";"39952217";;"dpo@alter.com.br";"PEDRO AUGUSTO BARQUETE DE REZENDE";"ADMINISTRADOR";5;"2016-10-25"
"344800";"62511019000150";"ALVORECER - ASSOCIAÃ‡ÃƒO DE SOCORROS MÃšTUOS";"ALVORECER";"Medicina de Grupo";"ALAMEDA SANTOS";"1827";"11 ANDAR SALA 111";"CERQUEIRA CESAR";"SÃ£o Paulo";"SP";"01419909";"11";"30169409";;"regulatorio@bluemedsaude.com.br";"SILVIO JOSÃ‰ FERRAZ TAVARES";"PRESIDENTE";4;"1999-01-15"
"424234";"56307500000125";"AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA";"AMAZIL   ";"Medicina de Grupo";"ESTRADA DO TINDIBA";"1630";;"TAQUARA";"Rio de Janeiro";"RJ";"22740362";"21";"999434833";;"leonardo@unimedicasaude.com";"ADEBEEL DE SOUSA AVES";"SOCIO ADMINISTRADOR";;"2024-12-02"
"419052";"16926969000128";"AMAZÃ”NIA PLANOS DE SAÃšDE LTDA";"PLANO AMAZÃ”NIA SAÃšDE";"Medicina de Grupo";"TRAVESSA NOVE DE JANEIRO";"1295";;"SÃƒO BRAZ";"BelÃ©m";"PA";"66060575";"91";"31847650";"32495686";"amasaude@amazoniaplanos.com.br";"GILBERTO OSAMU YAMAMOTO";"REPRESENTANTE LEGAL";6;"2013-10-03"
"423351";"46614535000153";"AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.";"VIVA VIDA";"Medicina de Grupo";"AVENIDA CALAMA";"2715";"SALA 2715C";"LIBERDADE ";"Porto Velho";"RO";"76803883";"69";"93324444";;"financeiro@operadoravivavida.com.br";"ROMILDA VIANA DE PAES";"SOCIO - ADMINISTRADOR";;"2022-10-03"
"304531";"17143876000190";"AME-ASSISTÃŠNCIA MÃ‰DICA A EMPRESAS LTDA";"AME-SISTEMA DE SAÃšDE 24 HORAS";"Medicina de Grupo";"RUA SAMPAIO";"376";;"CENTRO";"Juiz de Fora";"MG";"36010360";"32";"21015600";"32155201";"amesaude24h@terra.com.br";"REGINA MARIA AGUIAR DE SOUZA FELLET";"DIRETORA ADMINISTRATIVA E FINANCEIRA";6;"1998-12-22"
"413330";"04257073000114";"AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA";"AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA";"Medicina de Grupo";"RUA ARAGUAIA";"13";;"JACAREPAGUA";"Rio de Janeiro";"RJ";"22745270";"21";"39104000";;"amep.operadora@uol.com.br";"ANA MARLI VIDEIRA PEIXOTO FAZZINI";"SOCIA GERENTE";4;"2001-03-16"
"394734";"67839969000121";"AMEPLAN ASSISTÃŠNCIA MÃ‰DICA PLANEJADA LTDA";"AMEPLAN ASSITENCIA MÃ‰DICA PLANEJADA  LTDA.";"Medicina de Grupo";"RUA UBATU MIRIM";"45";"3Âº ANDAR";"VILA GEA";"SÃ£o Paulo";"SP";"04692010";"11";"33219700";;"diretoria.financeira@ameplansaude.com.br";"ALI HUSSEIN  IBRAHIN TAHA";"SÃ“CIO DIRETOR";2;"1998-12-24"
"321338";"84638345000165";"AMERON - ASSISTÃŠNCIA MÃ‰DICA RONDÃ”NIA S/A.";"AMERON";"Medicina de Grupo";"AVENIDA CALAMA";"2615";"PRÃ‰DIO";"LIBERDADE";"Porto Velho";"RO";"76803884";"69";"32117199";"32217157";"ouvidoria@ameron.com.br";"PAULO ROBERTO DA SILVA";"PRESIDENTE";5;"1998-12-22"
"401081";"68668045000172";"AMESC - ASSOCIAÃ‡ÃƒO MÃ‰DICA ESPÃRITA CRISTÃƒ";"GRUPO CEMERU SAÃšDE";"Medicina de Grupo";"RUA FELIPE CARDOSO";"1025";;"SANTA CRUZ";"Rio de Janeiro";"RJ";"23510006";"21";"24140013";;"relacionamento.ans@cemeru.com";"MAURO GOMES DIAS ";"REPRESENTANTE";4;"1999-02-24"
"418587";"15131148000132";"AMHA SAUDE S/A";"AMHA SAUDE S/A";"Medicina de Grupo";"RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO";"141";"1Âº ANDAR";"VILA SANTISTA";"Atibaia";"SP";"12941030";;;;"marcos.carvalho@amha.com.br";"JOSE JAIR JAMES DE ARRUDA PINTO";"DIRETOR ";5;"2012-10-08"
"421731";"29174910000172";"AMHE MED ASSISTENCIA A SAUDE LTDA - EPP";"AMHE MED";"Medicina de Grupo";"RUA PEDRO JOSÃ‰ SENGER";"230";;"VILA HARO";"Sorocaba";"SP";"18015000";"15";"30351030";;"juridico@amhemed.com.br";"MARCIO ALVES";"Representante Perante ANS";6;"2019-06-13"
"326305";"29309127000179";"AMIL ASSISTÃŠNCIA MÃ‰DICA INTERNACIONAL S.A.";"AMIL";"Medicina de Grupo";"Avenida Doutor Chucri Zaidan ";"S/ NÂº";"6Âº, 7Âº, 8Âº ,9Âº, 16Âº, 20Âº e 23Âº  andares ";"VILA FRANCISCO";"SÃ£o Paulo";"SP";"04711130";"21";"38054491";"38051088";"representanteans@amil.com.br";"ALEXANDRE GINO CAMARGO ZORNIG";"REPRESENTANTE LEGAL";1;"1998-12-17"
"325465";"20946877000187";"AMPARA ASSISTÃŠNCIA MÃ‰DICA PARAÃSO LTDA";"AMPARA ";"Medicina de Grupo";"PÃ‡ COMENDADOR JOÃƒO PIO FIGUEIREDO WESTIN";"107";;"MOCOQUINHA";"SÃ£o SebastiÃ£o do ParaÃ­so";"MG";"37957148";"35";"35393636";"35393600";"ampara@ampara.com.br";"ANTONIO CARLOS MAFFEI BRAGIATO";"DIRETOR PRESIDENTE";5;"1998-12-21"
"422720";"41077489000187";"AMPLA PLANOS DE SAUDE LTDA";"AMPLA  ";"Medicina de Grupo";"Av. Nilo PeÃ§anha";"50";"Grupo 2501";"CENTRO";"Rio de Janeiro";"RJ";"20020906";"21";"39235406";;"sidney.junior@amplasaude.com";"SIDNEY STORCH DUTRA JUNIOR";"SOCIO - ADMINISTRADOR";4;"2021-04-06"
"423858";"43047552000168";"AMPLITUDE PLANOS DE SAUDE LTDA ";"VYDA SAUDE";"Medicina de Grupo";"RUA INCONFIDÃŠNCIA ";"488";"SALA 201";"CENTRO";"Betim";"MG";"30411023";"31";"39235406";;"amaral.diego@gmail.com";"DIEGO ALVES AMARAL ";"SOCIO ADMINISTRADOR ";6;"2023-11-14"
"423319";"45981176000100";"ANAFE SAUDE";"ANAFE SAUDE";"AutogestÃ£o";"QUADRA 02 LOTE 03 1Âº ANDAR PARTE ";"9.0";"JARDIM DA BARRAGEM I";"JARDIM DA BARRAGEM I";"Ãguas Lindas de GoiÃ¡s";"GO";"72920004";;;;"financeiro@anafesaude.com.br";"FLAVIO MURILO PINTO SIVINI";"DIRETOR- PRESIDENTE";;"2022-08-26"
"421871";"03013779000178";"ANGELI SISTEMAS DE SAUDE S.A.";;"Medicina de Grupo";"RODOVIA DO CAQUI";"1150";"SALA PRÃ“XIMA AO PRONTO SOCORRO";"ARAÃ‡ATUBA";"Campina Grande do Sul";"PR";"83430000";"41";"35154099";;"atendimento@planodesaudeangeli.com.br";"PEDRO ERNESTO CARON";"Presidente";5;"2021-07-29"
"424366";"55081563000143";"AP ADMINISTRAÃ‡ÃƒO DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA";"AP ADMINISTRAÃ‡ÃƒO DE BENEFICIOS SOCIEDADE SIMPLES LIMITADA";"Administradora de BenefÃ­cios";"Rua Sete de Abril";"277.0";"conjuntos 11 e 12";"Centro";"SÃ£o Paulo";"SP";"01043000";"11";"33506000";;"contato@apbeneficios.com.br";"MIGUEL NOEL MEIRELLES";"administrador";;"2025-03-24"
"422932";"35808498000106";"APLUS ADMINISTRADORA DE BENEFICIOS LTDA";;"Administradora de BenefÃ­cios";"AVENIDA PRESIDENTE VARGAS";"534";"SALA 1501";"CENTRO";"Rio de Janeiro";"RJ";"20071000";;;;"contato@aplusadministradora.com.br";"GABRIEL SILVA RODRIGUES";"SOCIO ADMINISTRADOR/REPRE";;"2021-07-29"
"421693";"30902499000193";"AQQUER - ADMINISTRADORA DE BENEFÃCIOS LTDA";"AQQUER ADMINISTRADORA";"Administradora de BenefÃ­cios";"Rua BarÃ£o de MelgaÃ§o";"2754";"Sala 406";"Centro";"CuiabÃ¡";"MT";"78020800";"65";"36244416";;"aqquer@aqquer.com.br";"GABRIEL DUTRA";"REPRESENTANTE LEGAL";;"2019-05-24"
"416070";"17469701000177";"ARCELORMITTAL BRASIL S/A";"ARCELORMITTAL BRASIL S/A";"AutogestÃ£o";"AV. CARANDAI";"1115";;"FUNCIONARIOS";"Belo Horizonte";"MG";"30130915";"27";"33481463";;"beneficios@arcelormittal.com.br";"PATRICIA GARIGLIO DAHER RAYA";"GERENTE DE BENEFICIOS";6;"2007-05-21"
"422941";"41715325000138";"ARL ADMINISTRADORA DE BENEFÃCIOS LTDA.";"ARL ADMINISTRADORA DE BENEFÃCIOS";"Administradora de BenefÃ­cios";"Rua Visconde de Taunay";"601.0";;"Bom Retiro";"SÃ£o Paulo";"SP";"01132000";"11";"32252193";;"paralegalarl@gmail.com";"ALVARO ANTÃ”NIO REGIS LEMOS";"Presidente";2;"2021-08-11"
"352152";"00743507000135";"ARM PLANOS ODONTOLÃ“GICOS LTDA.";"ARM ODONTOLOGIA";"Odontologia de Grupo";"RUA LOEFGREEN ";"1291";"CONJUNTO 62";"VILA CLEMENTINO";"SÃ£o Paulo";"SP";"04040031";"11";"35155400";"35155400";"alexandre@armodonto.onmicrosoft.com";"ALEXANDRE DE SOUZA MARTINELLI";"DIRETOR";4;"1998-12-21"
"424340";"57267292000140";"ARTYODONTO BRASIL  PLANO DE ASSISTÃŠNCIA ODONTOLÃ“GICA LTDA";"ARTYODONTO BRASIL";"Odontologia de Grupo";"AVENIDA PEDRO PAES DE AZEVEDO";"615";"LOJA 03";"GRAGERU";"Aracaju";"SE";"49025570";"79";"991300040";;"artyodontobrasil@artyodontobrasil.com.br";"HÃ‰LCIO CASTRO PEREIRA";"DIRETOR ADMINISTRATIVO E FINANCEIRO";;"2025-02-17"
"417769";"12080518000161";"ASSISTE ADMINISTRADORA DE BENEFÃCIOS LTDA";"ASSISTE ";"Administradora de BenefÃ­cios";"RUA JOÃƒO HIPÃ“LITO DE AZEVEDO";"18";"SALA 3 - TÃ‰RREO";"CENTRO";"ConceiÃ§Ã£o do JacuÃ­pe";"BA";"44245000";"71";"30381100";;"bruno@assisteadministradora.com.br";"BRUNO EDELWEISS";"SÃ“CIO-ADMINISTRADOR";5;"2010-12-20"
"423912";"53249803000140";"ASSISTÃŠNCIA MÃ‰DICA 12 DE OUTUBRO LTDA";;"Medicina de Grupo";"Rua Presidente Prudente";"267";"2Âº andar";"Jardim SÃ£o Paulo";"Guarulhos";"SP";"07110140";"11";"49665132";;"administrativo@12deoutubrosaude.com.br";"GISELE ENCARNAÃ‡ÃƒO GUERRERO";"Administradora";6;"2024-03-04"
"325236";"66854779000110";"ASSISTÃŠNCIA MÃ‰DICA SÃƒO MIGUEL LTDA";"SÃƒO MIGUEL SAÃšDE";"Medicina de Grupo";"RUA ÃLVARO CORREA BORGES";"43";"ED. GILBERTO MAIDA MELLACE";"VILA DR. EIRAS";"SÃ£o Paulo";"SP";"08010200";;;;"saomiguelsaude@uol.com.br";"CARLOS ALBERTO FERNANDES MELLACI";"DIRETOR";4;"1998-12-21"
"365297";"01872588000136";"ASSISTÃŠNCIA ODONTOLÃ“GICA ESPECIALIZADA LTDA";"RISO PLANO ODONTOLOGICO";"Odontologia de Grupo";"AVENIDA UNIVERSIDADE";"28";"QUADRA 03";"COHAFUMA";"SÃ£o LuÃ­s";"MA";"65070650";;;;"planoriso@planoriso.com.br";"MARCIA CHRISTINA VÃ‰RAS BARBOSA";"DIRETORA TÃ‰CNICA";6;"1998-12-22"
"423432";"47325263000134";"ASSOC DE ASSIST Ã€ SAÃšDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE";"ADUFEPE SAÃšDE";"AutogestÃ£o";"Rua Bom Pastor";"430.0";"Sala 11";"Iputinga";"Recife";"PE";"50670260";"81";"86903080";;"adufepesaude@gmail.com";"JOSÃ‰ CRISTOVAM MARTINS VIEIRA ";"presidente";;"2022-12-27"
"409634";"73565319000138";"ASSOCIACAO CIVIL PRÃ“-SAÃšDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA";"PRO-SAUDE";"Medicina de Grupo";"RUA SENADOR PINHEIRO MACHADO";"446";;"CENTRO";"Ponta Grossa";"PR";"84040310";;;;"administrador@prosaudeuepg.com.br";"JEANE SILVANE ECKERT";"REPRESENTANTE";6;"1999-11-05"
"360783";"59007799000190";"ASSOCIACAO DE SAUDE HOLAMBRA";"ASSOCIAÃ‡ÃƒO DE SAÃšDE HOLAMBRA";"Medicina de Grupo";"ALAMEDA MAURÃCIO DE NASSAU";"241";"CX  POSTAL: 130";"CENTRO";"Holambra";"SP";"13825000";"19";"38022049";"38022049";"ash@holnet.com.br";"MAURICIO FRANCISCO MARIA KIEVITSBOSCH";"PRESIDENTE";5;"1999-02-03"
"317632";"62635990000191";"ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO";"ASSOCIAÃ‡ÃƒO DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP";"AutogestÃ£o";"AV. BRIGADEIRO LUIZ ANTONIO";"4843";;"JARDIM PAULISTA";"SÃ£o Paulo";"SP";"01401002";;;;"ans@afresp.org.br";"ALEXANDRE LANIA GONCALVES";"2Âª TESOUREIRO";2;"1998-12-16"
"343129";"13100755000100";"ASSOCIACAO DOS PROFESSORES UNIVERSITÃRIOS DA BAHIA";"APUB SAÃšDE";"AutogestÃ£o";"AV. ANTONIO CARLOS MAGALHAES";"3213";"EDIFÃCIO GOLDEN PLAZA,  SALA 405 a 408";"PARQUE BELA VISTA";"Salvador";"BA";"40280000";"71";"21039200";"32473381";"apubsaude@apubsaude.com.br";"SILVIA MARIA LEITE DE ALMEIDA";"PRESIDENTE DO CONSELHO DELIBERATIVO ";5;"1998-12-28"
"420093";"13083167000105";"ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM";"ASSEM";"AutogestÃ£o";"AV DOUTOR CARLOS RODRIGUES DA CRUZ";"401";;"CAPUCHO";"Aracaju";"SE";"49081015";"79";"32342692";"32342692";"assem@assemse.com.br";"ELIAS FERNANDO GOES FELIPE";"PRESIDENTE";6;"2016-04-14"
"406635";"71565659000133";"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA";"APAS/ITAPETININGA";"AutogestÃ£o";"RUA DR. COUTINHO";"535";;"CENTRO";"Itapetininga";"SP";"18200358";"15";"34721800";;"contato@apasitapetininga.com.br";"CARLOS ROGÃ‰RIO DE MORAIS";"REPRESENTANTE";5;"1999-07-21"
"410608";"00200720000109";"ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS)";"APAS - PRESIDENTE PRUDENTE";"AutogestÃ£o";"RUA PIONEIRO JOSÃ‰ LORENCETE";"420";;"JARDIM BONGIOVANI";"Presidente Prudente";"SP";"19050350";;;;"apas@apasprudente.com.br";"PATRÃCIA ELAINE MACHADO";"DIRETORA-PRESIDENTE";5;"2000-01-27"
"417599";"92741016000173";"ASSOCIAÃ‡AO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL";"VERTE SAUDE - AFPERGS";"Filantropia";"RUA DOS ANDRADAS";"846";;"CENTRO";"Porto Alegre";"RS";"90020006";"51";"32841500";;"najara.bandeira@afpergs.com.br";"ROMEU FUCHS";"Diretor Presidente";4;"2010-09-28"
"333867";"89761670000134";"ASSOCIAÃ‡AO UNISAUDE MARAU";"UNISAÃšDE";"Medicina de Grupo";"AVENIDA JULIO BORELLA";"1240";"CONJUNTO 406";"CENTRO";"Marau";"RS";"99150000";"54";"33422179";"33428002";"gerencia@unisaudemarau.com.br";"RUDIMAR LUIS RODEGHERO";"DIRETOR GERAL";6;"1998-12-31"
